Position,Height above ground [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h]
55.0,4.0,31.9,-0.728,-4.864,29.181,-24.622,75.894,-49.749,90.754
56.0,4.0,30.8,-0.67,-4.71,29.316,-25.371,75.906,-50.351,91.095
57.0,4.0,30.0,-0.446,-4.566,29.774,-25.015,75.942,-51.021,91.498
58.0,4.0,29.6,-0.193,-4.226,29.693,-24.72,75.934,-51.622,91.832
59.0,3.9,29.5,-0.075,-3.487,28.709,-25.688,75.856,-52.053,92.013
60.0,3.9,30.0,-0.113,-2.83,29.67,-26.368,75.916,-52.472,92.296
61.0,3.9,30.4,0.018,-1.944,29.974,-27.199,75.94,-52.973,92.602
62.0,3.8,30.8,0.179,-1.02,30.167,-28.054,75.957,-53.488,92.914
63.0,3.8,31.0,0.322,-0.124,30.589,-28.813,75.944,-53.905,93.145
64.0,3.8,31.0,0.429,0.691,31.497,-29.37,75.87,-54.119,93.207
65.0,3.8,31.0,0.537,1.106,32.403,-29.986,75.869,-54.5,93.429
66.0,3.8,31.2,0.473,1.274,32.05,-30.679,75.81,-54.637,93.46
67.0,3.7,31.2,0.358,1.301,31.328,-31.091,75.769,-55.003,93.643
68.0,3.7,30.9,0.245,1.258,30.613,-31.187,75.767,-55.684,94.046
69.0,3.6,30.7,0.132,1.215,29.899,-31.283,75.765,-56.365,94.451
70.0,3.6,30.5,0.019,1.172,29.186,-31.379,75.763,-57.044,94.86
71.0,3.6,30.3,-0.094,1.129,28.473,-31.475,75.761,-57.724,95.271
72.0,3.6,30.1,-0.181,1.086,27.281,-31.571,75.728,-58.135,95.496
73.0,3.6,29.9,-0.195,1.041,24.708,-31.671,75.607,-57.774,95.178
74.0,3.6,30.3,-0.367,0.818,23.159,-34.056,75.696,-58.111,95.452
75.0,3.5,31.1,-0.535,0.629,21.671,-34.556,75.671,-58.312,95.553
76.0,3.5,32.1,-0.7,0.456,20.205,-34.255,75.598,-58.452,95.58
77.0,3.4,33.0,-0.865,0.282,18.741,-33.955,75.525,-58.592,95.607
78.0,3.4,33.9,-1.03,0.109,17.279,-33.655,75.451,-58.732,95.634
79.0,3.4,34.3,-1.205,-0.079,16.933,-33.33,75.565,-60.215,96.633
80.0,3.4,34.3,-1.376,-0.289,17.197,-32.898,75.667,-61.483,97.503
81.0,3.3,34.2,-1.534,-0.517,17.441,-32.352,75.625,-61.538,97.506
82.0,3.2,34.1,-1.691,-0.745,17.684,-31.806,75.582,-61.594,97.508
83.0,3.2,34.1,-1.849,-0.972,17.928,-31.261,75.54,-61.649,97.51
84.0,3.1,34.0,-2.006,-1.2,18.171,-30.717,75.498,-61.704,97.513
85.0,3.0,34.0,-2.163,-1.427,18.414,-30.173,75.456,-61.759,97.515
86.0,2.9,33.9,-2.32,-1.654,18.656,-29.629,75.414,-61.814,97.518
87.0,2.8,33.9,-2.477,-1.881,18.899,-29.085,75.372,-61.869,97.521
88.0,2.8,33.8,-2.634,-2.107,19.141,-28.542,75.33,-61.925,97.523
89.0,2.7,33.7,-2.791,-2.334,19.384,-27.999,75.288,-61.98,97.526
90.0,2.6,34.3,-3.401,-2.608,17.207,-27.342,75.029,-63.435,98.257
91.0,2.5,34.3,-4.014,-3.504,14.827,-25.757,75.184,-64.184,98.859
92.0,2.4,33.9,-4.567,-4.681,12.679,-23.758,75.56,-64.416,99.298
93.0,2.3,33.5,-5.121,-5.859,10.529,-21.759,75.937,-64.649,99.736
94.0,2.1,33.1,-5.675,-7.037,8.378,-19.758,76.313,-64.882,100.175
95.0,2.0,32.7,-6.229,-8.216,6.227,-17.756,76.69,-65.115,100.615
96.0,1.8,32.3,-6.784,-9.396,4.073,-15.753,77.067,-65.348,101.055
97.0,1.6,31.9,-7.339,-10.577,1.917,-13.747,77.445,-65.581,101.496
98.0,1.5,31.5,-7.895,-11.759,-0.24,-11.74,77.823,-65.815,101.937
99.0,1.3,31.1,-8.451,-12.943,-2.4,-9.73,78.201,-66.048,102.378
100.0,1.2,29.9,-8.998,-14.383,-4.014,-7.285,79.262,-66.722,103.617
101.0,1.1,23.3,-9.917,-15.249,-3.797,-5.533,80.259,-67.149,104.651
102.0,0.9,17.2,-10.948,-16.626,-2.991,-4.367,81.101,-67.818,105.723
103.0,0.7,16.3,-11.947,-19.571,-2.209,-3.957,81.685,-69.229,107.077
104.0,0.5,15.4,-12.949,-22.522,-1.425,-3.545,82.27,-70.644,108.439
105.0,0.3,14.0,-15.25,-25.575,-0.788,-3.12,80.529,-69.906,106.639
106.0,0.0,11.7,-20.423,-28.851,-0.474,-2.663,73.649,-64.416,97.854
106.5,0.0,9.7,-22.67,-28.422,-0.338,-2.56,75.981,-64.405,99.605
0.0,2.4,0.0,-11.0,-11.0,0.0,0.0,83.612,-16.252,85.177
1.0,2.3,2.6,-7.222,-5.655,4.06,2.459,82.519,-10.391,83.174
2.0,2.3,5.0,-5.699,-1.068,4.541,2.227,83.12,-12.884,84.114
3.0,2.3,8.0,-4.045,3.498,4.1,3.818,83.805,-13.95,84.959
4.0,2.3,13.0,-1.879,7.813,1.163,10.601,84.661,-10.894,85.362
5.0,2.3,17.5,1.123,10.37,2.817,10.753,84.533,-12.436,85.447
6.0,2.3,22.0,4.113,12.919,4.466,10.905,84.405,-13.972,85.559
7.0,2.3,25.9,4.553,13.028,6.184,9.728,83.96,-15.755,85.432
8.0,2.3,28.8,5.787,12.683,8.462,5.97,83.658,-16.782,85.334
9.0,2.3,31.0,6.437,11.831,9.019,0.702,83.466,-17.847,85.366
10.0,2.4,32.3,6.522,10.894,9.216,-4.848,83.298,-19.117,85.479
11.0,2.4,32.3,7.358,10.708,11.112,-10.199,83.191,-20.104,85.605
12.0,2.4,32.0,7.011,10.497,10.276,-15.26,83.135,-21.408,85.867
13.0,2.5,30.4,8.369,11.463,12.117,-21.057,82.818,-22.254,85.779
14.0,2.5,29.8,8.517,12.072,11.51,-25.333,82.693,-23.258,85.925
15.0,2.5,29.3,8.581,12.656,10.733,-29.503,82.582,-24.272,86.098
16.0,2.6,29.5,7.851,12.919,9.96,-31.603,82.47,-25.353,86.305
17.0,2.6,29.6,7.238,13.26,9.13,-33.569,82.278,-26.357,86.42
18.0,2.7,29.1,6.944,13.917,8.344,-36.208,82.034,-27.265,86.464
19.0,2.8,28.6,5.939,14.629,7.802,-37.721,81.87,-28.244,86.62
20.0,2.8,28.0,4.932,15.342,7.259,-39.235,81.705,-29.225,86.787
21.0,2.9,27.4,3.786,16.024,8.955,-39.009,81.52,-30.11,86.914
22.0,2.9,26.9,3.064,16.824,9.632,-40.009,81.42,-31.14,87.18
23.0,3.0,26.6,2.575,17.463,9.861,-40.385,81.276,-32.07,87.381
24.0,3.0,26.4,2.437,18.017,10.318,-40.757,81.08,-32.953,87.525
25.0,3.1,26.2,2.624,18.505,11.215,-41.239,80.849,-33.804,87.633
26.0,3.1,26.5,2.679,18.62,12.055,-39.722,80.56,-34.389,87.594
27.0,3.1,27.1,2.452,18.077,12.126,-40.298,80.255,-34.993,87.553
28.0,3.2,28.1,2.152,16.821,13.612,-39.851,80.029,-35.477,87.541
29.0,3.2,29.0,1.59,15.149,17.002,-38.32,79.846,-36.177,87.659
30.0,3.2,29.9,0.963,13.257,19.397,-37.642,79.712,-36.988,87.876
31.0,3.3,30.5,0.447,11.35,20.314,-37.997,79.616,-37.852,88.157
32.0,3.3,30.7,0.02,9.658,23.472,-36.634,79.515,-38.92,88.53
33.0,3.3,30.2,-0.281,8.699,25.229,-34.804,79.512,-39.866,88.947
34.0,3.3,29.3,-0.163,8.282,26.9,-34.766,79.387,-40.724,89.223
35.0,3.3,28.6,-0.18,8.114,27.605,-35.388,79.301,-41.533,89.519
36.0,3.3,28.2,-0.193,7.954,28.313,-35.515,79.255,-42.317,89.845
37.0,3.3,28.0,-0.013,7.674,29.291,-35.09,79.206,-43.097,90.172
38.0,3.3,28.1,0.005,7.423,26.63,-37.537,79.146,-43.913,90.513
39.0,3.3,27.9,0.588,6.725,30.055,-36.041,78.991,-44.579,90.706
40.0,3.3,27.8,0.831,6.134,30.981,-35.429,78.899,-45.262,90.961
